No,상권코�,상권명,매출액,경도,위도,상태
"399","1000466",동교로17길,616851234.000000000000000,126.916051800991994,37.555816419632997,인근좌표
"400","1000467",동교로19길,336654721.000000000000000,126.917361702608986,37.557775272798708,인근좌표
"401","1000468",동교로25길,4359484663.000000000000000,126.921490748069004,37.558429238683800,인근좌표
"420","1000488",신촌로12길,1942286769.000000000000000,126.932686711198002,37.554760359240603,인근좌표
"422","1000491",양화로11길,3664448494.000000000000000,126.914721104600986,37.552335722625102,인근좌표
"425","1000494",와우산로29가길,3025792782.000000000000000,126.926954382779002,37.553861314904800,인근좌표
"426","1000495",와우산로29길,6196398585.000000000000000,126.928165147428004,37.555658089317198,인근좌표
"428","1000497",월드컵로10길,8129086174.000000000000000,126.913773928401994,37.555055683309803,인근좌표
"430","1000499",월드컵로16길,509605916.000000000000000,126.911768979871994,37.557559003008997,인근좌표
"435","1000504",월드컵로8길,552378659.000000000000000,126.913179827861995,37.553496388921801,인근좌표
"644","1000758",상도로37길,338231007.000000000000000,126.952597476313002,37.498652266663598,인근좌표
"645","1000759",상도로47길,895346671.000000000000000,126.952452814186998,37.502610328270201,인근좌표
"646","1000760",상도로61길,4399899433.000000000000000,126.955620645181995,37.494919186053693,인근좌표
"647","1000761",상도로62길,672885666.000000000000000,126.953739325455004,37.494938358525197,인근좌표
"757","1000894",논현로106길,356302172.000000000000000,127.036211481864996,37.506118177803600,인근좌표
"765","1000902",논현로63길,113343043.000000000000000,127.037898598848003,37.492059047667802,인근좌표
"783","1000920",삼성로63길,392288841.000000000000000,127.058175404759993,37.500514534508397,인근좌표
"785","1000922",삼성로69길,598090869.000000000000000,127.057230531002006,37.501236302158603,인근좌표
"786","1000923",삼성로75길,309773234.000000000000000,127.055366925420003,37.503421574248200,인근좌표
